organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Triticum aestivum	4565	PRJNA351772	351772	Plants	Land Plants	567.21	44.7	GCA_002158495.1	NA	MOLT01	10339	NA	NA	2017-05-08	2017-05-08	Scaffold	Department for plant and microbial Biology	SAMN05954280
Zea mays	4577	PRJNA51041	51041	Plants	Land Plants	177.051	45.9	GCA_000223545.1	NA	AECO01	196697	NA	NA	2011-08-16	2014-08-11	Scaffold	Laboratorio Nacional de Genómica para la Biodiversidad (LANGEBIO) CINVESTAV Irapuato	SAMN02981271
Arabidopsis thaliana	3702	PRJNA13190	13190	Plants	Land Plants	93.6545	36.0433	GCA_000211275.1	chromosome 3:BA000014.8; chromosome 5:BA000015.5; chromosome 1 bottom arm:AE005173.1; chromosome 1 top arm:AE005172.1; chromosome 4 long arm:AJ270060.1; chromosome 4 short arm:AJ270058.1	NA	6	16842	20111	2000-12-14	2007-05-19	Chromosome	Arabidopsis Genome Initiative	SAMN03081413
Oryza sativa Japonica Group	39947	PRJNA264749	264749	Plants	Land Plants	342.028	42.9596	GCA_000817615.1	chromosome 1:CM003064.1; chromosome 2:CM003065.1; chromosome 3:CM003066.1; chromosome 4:CM003067.1; chromosome 5:CM003068.1; chromosome 6:CM003069.1; chromosome 7:CM003070.1; chromosome 8:CM003071.1; chromosome 9:CM003072.1; chromosome 10:CM003073.1; chromosome 11:CM003074.1; chromosome 12:CM003075.1	JSUF01	1160	NA	NA	2015-01-12	2015-01-14	Chromosome	University of California, Riverside	SAMN02054479
Oryza sativa Japonica Group	39947	PRJNA265458	265458	Plants	Land Plants	337.74	42.97	GCA_000817635.1	chromosome 1:CM003076.1; chromosome 2:CM003077.1; chromosome 3:CM003078.1; chromosome 4:CM003079.1; chromosome 5:CM003080.1; chromosome 6:CM003081.1; chromosome 7:CM003082.1; chromosome 8:CM003083.1; chromosome 9:CM003084.1; chromosome 10:CM003085.1; chromosome 11:CM003086.1; chromosome 12:CM003087.1	JSUG01	1739	NA	NA	2015-01-12	2015-01-14	Chromosome	University of California, Riverside	SAMN03151584
Triticum aestivum	4565	PRJNA61773	61773	Plants	Land Plants	159.087	43.6	GCA_000188135.1	NA	AEOM01	311945	NA	NA	2011-02-04	2014-08-11	Contig	International Wheat Genome Sequencing Consortium	SAMN02981295
Triticum aestivum	4565	PRJEB217	171500	Plants	Land Plants	3800.33	47.7	GCA_000334095.1	NA	CALP01	5321847	NA	NA	2012-12-23	2015-02-01	Contig	MIPS/HMGU	SAMEA2272365
Oryza sativa Indica Group	39946	PRJNA276972	276972	Plants	Land Plants	398.762	43.6775	GCA_001618785.1	chromosome 1:CM003885.1; chromosome 2:CM003886.1; chromosome 3:CM003887.1; chromosome 4:CM003888.1; chromosome 5:CM003889.1; chromosome 6:CM003890.1; chromosome 7:CM003891.1; chromosome 8:CM003892.1; chromosome 9:CM003893.1; chromosome 10:CM003894.1; chromosome 11:CM003895.1; chromosome 12:CM003896.1	LBAZ01	11486	NA	NA	2016-04-11	2016-04-14	Chromosome	Huazhong Agricultural University	SAMN03380733
Oryza sativa Indica Group	39946	PRJNA276972	276972	Plants	Land Plants	386.486	43.5278	GCA_001618795.1	chromosome 1:CM003897.1; chromosome 2:CM003898.1; chromosome 3:CM003899.1; chromosome 4:CM003900.1; chromosome 5:CM003901.1; chromosome 6:CM003902.1; chromosome 7:CM003903.1; chromosome 8:CM003904.1; chromosome 9:CM003905.1; chromosome 10:CM003906.1; chromosome 11:CM003907.1; chromosome 12:CM003908.1	LBBA01	8481	NA	NA	2016-04-11	2016-04-14	Chromosome	Huazhong Agricultural University	SAMN03380734
Triticum aestivum	4565	PRJEB217	171500	Plants	Land Plants	437.106	48.3	GCA_000334135.1	NA	CALO01	945079	NA	NA	2013-01-09	2015-01-30	Contig	MIPS/HMGU	SAMEA2272598
Triticum aestivum	4565	PRJEB8762	302396	Plants	Land Plants	44.4015	45.8	GCA_001485685.1	NA	FAOV01	50000	NA	NA	2015-11-19	2015-11-19	Contig	UNIVERSITY OF LIVERPOOL	SAMEA3669679
Oryza sativa Indica Group	39946	PRJNA302542	302542	Plants	Land Plants	346.879	43.5875	GCA_001623345.1	chromosome 1:CM003910.1; chromosome 2:CM003911.1; chromosome 3:CM003912.1; chromosome 4:CM003913.1; chromosome 5:CM003914.1; chromosome 6:CM003915.1; chromosome 7:CM003916.1; chromosome 8:CM003917.1; chromosome 9:CM003918.1; chromosome 10:CM003919.1; chromosome 11:CM003920.1; chromosome 12:CM003921.1	LNNJ01	237	NA	NA	2016-04-18	2016-04-19	Chromosome	Huazhong Agricultural University	SAMN04274564
Oryza sativa Indica Group	39946	PRJNA302543	302543	Plants	Land Plants	359.938	43.6291	GCA_001623365.1	chromosome 1:CM003922.1; chromosome 2:CM003923.1; chromosome 3:CM003924.1; chromosome 4:CM003925.1; chromosome 5:CM003926.1; chromosome 6:CM003927.1; chromosome 7:CM003928.1; chromosome 8:CM003929.1; chromosome 9:CM003930.1; chromosome 10:CM003931.1; chromosome 11:CM003932.1; chromosome 12:CM003933.1	LNNK01	181	NA	NA	2016-04-18	2016-04-19	Chromosome	Huazhong Agricultural University	SAMN04274565
Triticum aestivum	4565	PRJNA297830	297830	Plants	Land Plants	0.942499	46.3	GCA_001889205.1	NA	LOLD01	3746	NA	NA	2016-11-03	2016-11-03	Contig	Stellenbosch	SAMN04147051
Triticum aestivum	4565	PRJNA297830	297830	Plants	Land Plants	2.42226	45.4	GCA_001889245.1	NA	LOLC01	9834	NA	NA	2016-11-03	2016-11-03	Contig	Stellenbosch	SAMN04147050
Oryza sativa Indica Group	39946	PRJNA353946	353946	Plants	Land Plants	389.088	43.6061	GCA_001889745.1	chromosome 1:CM007596.1; chromosome 2:CM007597.1; chromosome 3:CM007598.1; chromosome 4:CM007599.1; chromosome 5:CM007600.1; chromosome 6:CM007601.1; chromosome 7:CM007602.1; chromosome 8:CM007603.1; chromosome 9:CM007604.1; chromosome 10:CM007605.1; chromosome 11:CM007606.1; chromosome 12:CM007607.1	MPPV01	66	NA	NA	2016-12-06	2016-12-06	Chromosome	The University of Arizona	SAMN06031001
Oryza sativa aus subgroup	1736659	PRJNA315689	315689	Plants	Land Plants	362.279	43.3432	GCA_001952365.1	chromosome 1:CM007627.1; chromosome 2:CM007628.1; chromosome 3:CM007629.1; chromosome 4:CM007630.1; chromosome 5:CM007631.1; chromosome 6:CM007632.1; chromosome 7:CM007633.1; chromosome 8:CM007634.1; chromosome 9:CM007635.1; chromosome 10:CM007636.1; chromosome 11:CM007637.1; chromosome 12:CM007638.1	LWDA01	912	NA	NA	2017-01-11	2017-01-13	Chromosome	University of Arizona	SAMN04568482
Oryza sativa Japonica Group	39947	PRJNA396093	396093	Plants	Land Plants	418.901	44.3	GCA_002573525.1	NA	PDFQ01	588	NA	NA	2017-10-17	2017-10-17	Contig	Institute of Crop Sciences, Chinese Academy of Agricultural Sciences	SAMN07420929
Oryza sativa Indica Group	39946	PRJNA305605	305605	Plants	Land Plants	351.225	43.1	GCA_001611195.1	NA	LQHG01	39669	NA	NA	2016-04-05	2016-04-05	Scaffold	Centre for Cellular and Molecular Platforms	SAMN04275185
Oryza sativa Indica Group	39946	PRJNA305604	305604	Plants	Land Plants	352.227	41.8	GCA_001611235.1	NA	LQHE01	116212	NA	NA	2016-04-05	2016-04-05	Scaffold	Centre for Cellular and Molecular Platforms	SAMN04275173
Oryza sativa Indica Group	39946	PRJNA305606	305606	Plants	Land Plants	331.819	42	GCA_001611255.1	NA	LQHF01	75421	NA	NA	2016-04-05	2016-04-05	Scaffold	Centre for Cellular and Molecular Platforms	SAMN04275184
Oryza sativa	4530	PRJNA313502	313502	Plants	Land Plants	307.225	41.4	GCA_001648735.1	NA	LVCG01	55637	NA	NA	2016-05-19	2016-08-01	Scaffold	Centre for Cellular and Molecular Biology	SAMN04524138
Oryza sativa	4530	PRJNA313502	313502	Plants	Land Plants	295.39	41	GCA_001648745.1	NA	LVCH01	64800	NA	NA	2016-05-19	2016-08-01	Scaffold	Centre for Cellular and Molecular Biology	SAMN04538187
